galaxy,points,aM_HRC0_si,aM_HRC0_over_match,chi2_HRC0,chi2red_HRC0,success_HRC0,aM_HRC0_freeML_si,aM_HRC0_freeML_over_match,ups_disk_HRC0_freeML,chi2_HRC0_freeML,chi2red_HRC0_freeML,success_HRC0_freeML,aM_HRC3_si,aM_HRC3_over_match,chi2_HRC3,chi2red_HRC3,success_HRC3,aM_HRC3_freeML_si,aM_HRC3_freeML_over_match,ups_disk_HRC3_freeML,chi2_HRC3_freeML,chi2red_HRC3_freeML,success_HRC3_freeML,Vflat_obs_km_s,Mbar_eff_Msun
NGC3198,43,1.2799975290704654e-10,1.1825535111925571,570.9771945806373,13.594695109062792,True,7.257094983964868e-11,0.6704624782031985,0.8800310339414849,109.08430000475553,2.6605926830428177,True,9.972002250892492e-11,0.9212850812279819,124.54208221615647,2.9652876718132495,True,7.778613218132135e-11,0.7186440726952839,0.6118437813858499,77.30632117558035,1.8855200286726914,True,148.43820224719101,35810121655.54036
NGC3521,41,2.7268009164039435e-10,2.519214236576115,32.09304610880905,0.8023261527202262,True,1.9941715505178987e-10,1.8423586885341747,0.5707282595879254,7.949668731749105,0.2038376597884386,True,1.5945751450434214e-10,1.473182872470741,29.899517209545298,0.7474879302386325,True,1.0446854343391938e-10,0.9651553228908812,0.5725391718016434,12.019465924233824,0.30819143395471343,True,207.75322593803574,44887624478.83988
NGC3726,12,8.519769054254978e-11,0.7871173639667448,24.868356811612077,2.2607597101465524,True,7.535163078037138e-11,0.6961524028731767,0.5427525218760738,24.196125410669406,2.4196125410669405,True,4.4438098321927984e-11,0.4105510206685958,36.05401102942739,3.277637366311581,True,1.0614284121612843e-10,0.9806236865100756,0.3012372941318741,27.472933206961624,2.7472933206961625,True,168.2066012116148,49275205936.8208
NGC3741,21,1.4988767597790095e-10,1.384769841242414,19.77144441397343,0.9885722206986716,True,1.767865592329061e-10,1.63328101503714,0.10725630159226215,4.444823468618431,0.23393807729570687,True,1.4758007588219835e-10,1.363450576684278,21.924595386326878,1.0962297693163439,True,1.7513194048266095e-10,1.6179944604278638,0.10385896662574315,4.439542897067534,0.23366015247723865,True,49.253068174561534,273478084.2752388
NGC3769,12,1.0863574999124355e-10,1.0036549655410276,10.503126380465602,0.9548296709514184,True,1.1571156874753721e-10,1.0690264535695533,0.4670480929540949,10.361180402822317,1.0361180402822316,True,7.055486577693438e-11,0.6518364478158313,11.068532680526182,1.0062302436841983,True,7.801462621202788e-11,0.7207550644133286,0.4664712566627102,10.966307539308998,1.0966307539308997,True,117.40859783245773,17988485543.781654
NGC3877,13,1.3253244020778324e-10,1.2244297270514786,88.9727907770261,7.414399231418842,True,1.017459787602151e-10,0.9400023179731618,0.5721246755226093,88.81918545566751,8.074471405060683,True,6.578308553424266e-11,0.6077513198958404,88.68380213392378,7.390316844493648,True,1.3367882145938068e-10,1.2350208191704326,0.3312813273707429,84.88895221672844,7.71717747424804,True,170.46763752965634,48169801041.64952
NGC3893,10,2.2625587567817574e-10,2.090314036820644,8.786359403733591,0.976262155970399,True,2.124855397506266e-10,1.9630937982530756,0.5239520584206593,8.60578858073457,1.0757235725918213,True,1.291331997384877e-10,1.1930251058623078,3.629077889438058,0.4032308766042287,True,1.960227242536086e-10,1.8109985025359685,0.39402337232939455,2.2400901650374605,0.28001127062968256,True,174.40310111150637,39626629996.222824
NGC3917,17,1.7147074744506957e-10,1.5841697335559177,56.29471037689982,3.518419398556239,True,5.4095299642013576e-11,0.499771172036028,1.167968599251785,39.65896291110466,2.6439308607403107,True,1.3019975782069927e-10,1.2028787342980285,42.48649922322883,2.655406201451802,True,2.559295110947127e-11,0.23644603609714135,1.1955836597097675,39.689647568613225,2.645976504574215,True,137.1532314107019,17224548115.773056
NGC3949,7,1.645024328003386e-10,1.5197914456055863,1.9251647185050869,0.3208607864175145,True,2.0342017185214012e-10,1.8793414284622327,0.4533390043647495,1.66546208454497,0.333092416908994,True,8.208569619730092e-11,0.7583665284674146,1.843010948482739,0.3071684914137898,True,9.386284709941829e-11,0.8671722943758641,0.4701624069425536,1.722110525947971,0.3444221051895942,True,162.9707734247946,22111543593.883404
NGC3953,8,2.1553073184595334e-10,1.9912274666610106,31.317152424171326,4.473878917738761,True,4.44877685454251e-11,0.4110099098138029,0.8172222555955524,3.3542930019348685,0.5590488336558114,True,1.1032735185597319e-10,1.01928319668401,28.750828655970494,4.107261236567213,True,2.2897638101583382e-11,0.21154480161151348,0.8175040676379132,3.3412982998764704,0.5568830499794117,True,222.09672123874174,92514175135.89432
NGC3972,10,2.081911594750835e-10,1.9234192335925684,10.630944680905479,1.1812160756561643,True,2.9149257678251217e-10,2.6930174655184773,0.35362655146184785,10.347195639130565,1.2933994548913206,True,1.5325171747023586e-10,1.4158492690398023,14.112287579363745,1.5680319532626383,True,3.397120552613898e-10,3.13850358785873,0.2744502678293512,10.81035357422795,1.3512941967784937,True,132.04137318400194,10313054438.549154
NGC3992,9,2.2264817558836247e-10,2.0569835161622443,81.60991190151616,10.20123898768952,True,7.001060880260111e-11,0.6468082115780923,1.1124646840210515,5.570421791961151,0.795774541708736,True,1.6467639587283645e-10,1.5213986412253273,19.87695827274796,2.484619784093495,True,3.451234327362571e-11,0.31884977736907905,1.1204757175243671,5.656312577814937,0.8080446539735624,True,241.70161856204643,144826604629.62976
NGC4010,12,1.319388785103694e-10,1.218945978423496,23.10779348945486,2.100708499041351,True,3.6482466505820677e-10,3.3705118864372476,0.13819687695357497,16.495620906415663,1.6495620906415662,True,7.757210324977737e-11,0.7166667199368146,31.522635383906717,2.8656941258097017,True,3.6336147497417897e-10,3.356993887127782,0.1310079252005985,16.38089409794954,1.6380894097949539,True,123.88676236044658,12555884300.999609
NGC4013,36,1.3330164487055782e-10,1.2315361913541898,54.44688646161869,1.5556253274748197,True,1.1548005272169498e-10,1.0668875424932491,0.5731306252042773,47.60074405157949,1.400021883869985,True,8.744152871435973e-11,0.8078475501456877,145.76561492709905,4.164731855059973,True,2.0699922653400554e-10,1.9124073022992212,0.2203004665095379,42.00470730699378,1.2354325678527582,True,177.7505325443787,48909030603.602394
