galaxy,n_points,gdagger_si,ups_disk,chi2,chi2_red,sigma_lo_si,sigma_hi_si,ratio_cH0,ratio_cH0_2pi,ratio_a0
UGC02455,8,1.9414826176672852e-11,0.1,18.67826010994743,3.1130433516579052,3.5049301605700097e-12,3.870422213286072e-12,0.02854731773992373,0.17936808738287593,0.16179021813894043
UGC06667,9,1.2289184502496708e-10,2.5,22.22341447420479,3.17477349631497,7.225430050730569e-12,7.67678699327632e-12,0.1806986328720462,1.135362995089079,1.0240987085413924
UGC05986,15,4.451619519125744e-10,0.2697111875062285,41.39418655557682,3.1841681965828323,1.1411597638358362e-11,1.1711826927802286e-11,0.6545605699134169,4.1127253555390775,3.7096829326047867
UGC02487,17,7.652977627673455e-11,1.3422620440455186,49.3050760525575,3.2870050701705003,6.596083617640618e-13,6.653429370636555e-13,0.1125284264745149,0.7070369558647104,0.6377481356394545
ESO079-G014,15,1.3580319865060189e-10,0.544266441558629,45.26591507943943,3.481993467649187,3.4812756443908255e-12,3.5728650034092635e-12,0.19968332586128204,1.2546473391403608,1.1316933220883492
NGC5585,24,1.6370495817551816e-10,0.20759756133426602,78.22955255900868,3.555888752682213,4.196529164447049e-12,4.306936226551662e-12,0.24070972431638418,1.512423803119954,1.3642079847959847
UGC06614,13,6.082139630246131e-11,0.31476949546219424,39.63414150228515,3.603103772935014,5.524213925510984e-12,6.076085434745982e-12,0.08943102090289924,0.561911676543167,0.5068449691871776
NGC2955,24,1.6169064088672469e-10,0.22524501784099799,81.11891011659603,3.687223187118001,6.848955439539588e-12,7.151898348468308e-12,0.23774789735234472,1.4938140954570929,1.3474220073893723
UGC02953,115,1.48952525497414e-10,0.6165832110852703,424.32277171504165,3.7550687762393067,0.0,0.0,0.21901793170045641,1.3761302504691697,1.2412710458117833
NGC1003,36,1.1663068488423886e-10,0.3367004163989562,135.90078936068457,3.9970820400201346,1.005237160366554e-12,1.0139766011078337e-12,0.17149230126076084,1.0775179075760277,0.9719223740353238
UGC05764,10,1.1909703290159404e-10,2.5,33.358418262163084,4.169802282770386,7.002313947725436e-12,7.43973331127866e-12,0.17511878855804425,1.1003037992789921,0.9924752741799503
UGC04325,8,2.4472474994527833e-11,2.5,25.581472328952373,4.263578721492062,2.9799759559510763e-12,2.9148789105791957e-12,0.03598402134501358,0.22609427420822592,0.20393729162106528
UGC06973,9,3.633280662978271e-10,0.1,31.223423161785387,4.460489023112198,1.5389992409957775e-11,1.607072235633004e-11,0.5342330473655375,3.3566852338169206,3.0277338858152256
UGC11455,36,1.4024424912904851e-10,0.39541467954806864,161.68322454334697,4.755388957157264,3.5951206864792774e-12,3.689705210344475e-12,0.20621339097510644,1.2956769483184682,1.1687020760754043
NGC0891,18,2.682301901220808e-10,0.1981003711561598,76.71514399281375,4.794696499550859,2.3118697700396763e-12,2.331968956235243e-12,0.39440231888635047,2.478102855144275,2.235251584350673
UGC03205,48,8.078296859374246e-11,0.7647830532320724,256.3898496325708,5.573692383316756,6.962665274215363e-13,7.023198054902656e-13,0.118782267295841,0.7463309966267065,0.6731914049478539
NGC0801,13,3.0805839518135935e-11,0.6007220231226844,62.48896858929993,5.680815326299993,7.896987691388141e-13,8.104750625069478e-13,0.0452965213783868,0.28460643759102594,0.25671532931779945
UGC00731,12,6.377009142753136e-11,2.5,59.2044768434431,5.92044768434431,2.701198487230365e-12,2.8206778639819228e-12,0.09376674535840217,0.5891538367379622,0.5314174285627613
NGC5907,19,4.620391117873098e-11,0.7726953063858669,108.31165380946504,6.371273753497944,3.982304358174305e-13,4.016926151243912e-13,0.06793765348418307,0.4268648661760771,0.3850325931560915
UGC05253,73,1.1419590018325242e-10,0.531165548354301,479.1312158281733,6.7483269834953985,9.842518076581138e-13,9.92808803645405e-13,0.1679122242693491,1.0550236204250176,0.9516325015271035
NGC2903,34,2.0949809298706859e-10,0.3536930660575405,233.33829945278129,7.291821857899415,1.8056591908512723e-12,1.821357428162852e-12,0.3080433773646507,1.93549362263155,1.745817441558905
UGC09133,68,6.755733286216952e-11,0.6441803428686322,523.4608459062928,7.931224937974133,5.822750806591063e-13,5.873373274236795e-13,0.09933545782631611,0.6241430890962668,0.5629777738514127
NGC3877,13,5.3058447716078764e-11,0.5207902286690501,87.34644469867257,7.940585881697507,3.976707369399947e-12,4.298908688875094e-12,0.07801647833231352,0.4901919903754869,0.442153730967323
DDO168,10,8.695827013681273e-11,0.1,63.574637854797395,7.946829731849674,5.112714339006169e-12,5.432094513744748e-12,0.12786235349829594,0.8033828608418955,0.724652251140106
NGC6015,44,7.081076615862836e-11,0.7979417691693974,345.04075468563207,8.21525606394362,6.103163465714867e-13,6.156223815596496e-13,0.10411926548003854,0.6542006390585088,0.5900897179885697
NGC6674,15,7.183817975093403e-11,0.8702491304495992,113.70539494550881,8.746568841962217,6.191716004275169e-13,6.24554622189914e-13,0.10562996158429244,0.6636926226243705,0.5986514979244503
NGC5033,22,9.772846669701515e-11,0.6852215578419731,185.58717451652132,9.279358725826066,8.423193814474585e-13,8.496424297883145e-13,0.1436987159013212,0.9028856604117548,0.814403889141793
D631-7,16,7.154955157345178e-11,0.1,138.02719988264238,9.859085705903027,4.206758226716228e-12,4.4695452882348334e-12,0.10520556631975071,0.6610260685337651,0.5962462631120982
NGC5371,19,1.3539686355798611e-11,0.624191869163265,193.24526052754322,11.367368266326071,5.735193330155233e-13,5.98887232778391e-13,0.019908585581997304,0.1250893324155328,0.1128307196316551
ESO563-G021,30,1.6272595210511683e-10,0.7104586178230239,481.8410961536678,17.20861057691671,4.171432627528471e-12,4.281179421396693e-12,0.23927020602728197,1.5033790429564506,1.3560496008759735
NGC5985,33,1.6128284411266412e-11,1.7701363685150955,596.3650095975254,19.237580954758883,9.48263009870316e-13,1.0074989432140046e-12,0.02371482780729092,0.1490046576410642,0.13440237009388675
UGC06787,71,2.9207487282101396e-10,0.3767207627173456,1342.69252104428,19.459311899192464,0.0,0.0,0.4294632422868381,2.6983971339103676,2.4339572735084496
F571-8,13,9.590848249173732e-10,0.1,288.526964985175,26.229724089561365,4.062529032338709e-11,4.2422227642557125e-11,1.4102263387427043,8.860713411385822,7.99237354097811
UGC03580,47,1.1510467878744021e-10,0.1,1329.9763256947047,29.555029459882327,9.920845493108076e-13,1.0007096424439352e-12,0.16924848096991973,1.0634195688926633,0.9592056565620017
IC4202,32,2.2074795265824762e-11,1.0912545419572928,1076.5481591501737,35.88493863833912,1.2978883102048824e-12,1.3789645776861174e-12,0.032458503041063944,0.20394278940065685,0.18395662721520634
UGC02916,43,2.019668799369363e-11,0.9955302899784529,1482.1301686131126,36.149516307636894,8.554992134145953e-13,8.933396436211645e-13,0.029696957583005303,0.18659148755347432,0.16830573328078025
NGC4217,19,3.877298955671152e-11,0.1,653.7629310775873,38.45664300456396,2.906018550126491e-12,3.1414703760453186e-12,0.05701131921191752,0.35821268321524546,0.3231082463059293
