N,H,q,p,F,V,rho_m,rho_r,constraint_signed,constraint_abs,constraint_rel
-58.0,2.3886906014249912e+48,-1.6879794849673945e-19,5.797445257813964e-20,1.0,2.0997,3.3226328966224197e+75,1.711752836800826e+97,0.0,0.0,0.0
-57.98,2.2950287032515288e+48,-1.6686858594425758e-19,9.946756829378396e-20,1.0,2.0997,3.1291378201592874e+75,1.5801470246245181e+97,1.8971375900641885e+81,1.8971375900641885e+81,1.2006082728377727e-16
-57.96,2.2050393406355373e+48,-1.6576207562420006e-19,5.831913872524086e-21,1.0,2.0997,2.9469110197231373e+75,1.4586595481251217e+97,-1.8971375900641885e+81,1.8971375900641885e+81,-1.300603415308707e-16
-57.94,2.1185785113980133e+48,-1.6881785678354897e-19,-1.1513533351243783e-19,1.0,2.0997,2.775296282003837e+75,1.3465124726872266e+97,0.0,0.0,0.0
-57.92,2.0355078597662774e+48,-1.7481787807359428e-19,-3.745399473688924e-19,1.0,2.0997,2.613675608579437e+75,1.2429876741510873e+97,0.0,0.0,0.0
-57.9,1.955694454974975e+48,-1.835647168887907e-19,-4.878005851644238e-19,1.0,2.0997,2.4614669904543355e+75,1.1474222403659594e+97,1.8971375900641885e+81,1.8971375900641885e+81,1.6533909866163255e-16
-57.88,1.8790105785487295e+48,-1.952165329014776e-19,-5.84622870310757e-19,1.0,2.0997,2.318122312198312e+75,1.0592042262894095e+97,-1.8971375900641885e+81,1.8971375900641885e+81,-1.7910970736117778e-16
-57.86,1.805333519925105e+48,-2.0972849256686645e-19,-7.018996971106825e-19,1.0,2.0997,2.1831253781386165e+75,9.777687354495508e+96,-1.8971375900641885e+81,1.8971375900641885e+81,-1.9402722967941265e-16
-57.84,1.734545380091745e+48,-2.222663666182672e-19,-6.52471357164444e-19,1.0,2.0997,2.0559900534987046e+75,9.025943026792847e+96,0.0,0.0,0.0
-57.82,1.6665328829225904e+48,-2.3205104434064957e-19,-5.132968863610721e-19,1.0,2.0997,1.9362585137870576e+75,8.331995549586842e+96,-1.8971375900641885e+81,1.8971375900641885e+81,-2.2769306329721474e-16
-57.8,1.60118719391209e+48,-2.432615873689793e-19,-5.222334753483948e-19,1.0,2.0997,1.823499596135143e+75,7.691401289844219e+96,0.0,0.0,0.0
-57.78,1.5384037460166915e+48,-2.5539605332074734e-19,-5.898185780674619e-19,1.0,2.0997,1.7173072466453239e+75,7.100058257274567e+96,-9.485687950320943e+80,9.485687950320943e+80,-1.3360014251435346e-16
-57.76,1.4780820723252005e+48,-2.686790077450375e-19,-7.503946633224629e-19,1.0,2.0997,1.61729905815778e+75,6.554179837587479e+96,-1.8971375900641885e+81,1.8971375900641885e+81,-2.8945461325066476e-16
-57.74,1.4201256452904446e+48,-2.851028955459896e-19,-7.808933849058309e-19,1.0,2.0997,1.5231148931722028e+75,6.050270545234805e+96,0.0,0.0,0.0
-57.72,1.3644417222644288e+48,-3.002775202883697e-19,-7.933108769970335e-19,1.0,2.0997,1.4344155869635391e+75,5.585103640367762e+96,-9.485687950320943e+80,9.485687950320943e+80,-1.6983906765419197e-16
-57.7,1.3109411970904809e+48,-3.142958999824244e-19,-6.784086693463201e-19,1.0,2.0997,1.3508817262227293e+75,5.155700466687069e+96,0.0,0.0,0.0
-57.68,1.2595384575142306e+48,-3.264253524577769e-19,-5.488977886791342e-19,1.0,2.0997,1.2722124988235942e+75,4.759311377871981e+96,0.0,0.0,0.0
-57.66,1.2101512481858722e+48,-3.371115421219591e-19,-4.935194195940662e-19,1.0,2.0997,1.1981246105746512e+75,4.393398130457473e+96,0.0,0.0,0.0
-57.64,1.1627005390339973e+48,-3.4764753013626195e-19,-5.3438520356157e-19,1.0,2.0997,1.1283512650536754e+75,4.055617630409844e+96,4.7428439751604714e+80,4.7428439751604714e+80,1.1694504776775957e-16
-57.62,1.1171103988005712e+48,-3.6062570448470334e-19,-6.365743056861775e-19,1.0,2.0997,1.062641202852439e+75,3.7438069293251133e+96,0.0,0.0,0.0
-57.6,1.0733078735348375e+48,-3.7387704143124047e-19,-6.221268816677724e-19,1.0,2.0997,1.0007577967717585e+75,3.455969374175624e+96,0.0,0.0,0.0
-57.58,1.0312228698513026e+48,-3.846289425885248e-19,-6.045629575673903e-19,1.0,2.0997,9.424781997075534e+74,3.19026182191307e+96,0.0,0.0,0.0
-57.56,9.907880427654902e+47,-3.9574379297396035e-19,-6.174374436199047e-19,1.0,2.0997,8.875925421609044e+74,2.9449828370612125e+96,-4.7428439751604714e+80,4.7428439751604714e+80,-1.6104827218257535e-16
-57.54,9.519386879274773e+47,-4.086213553480007e-19,-6.06761382330426e-19,1.0,2.0997,8.359031764810198e+74,2.718561796719261e+96,0.0,0.0,0.0
