galaxy,n_points,D_Mpc,R_last,Mbar_proxy,Sigma_bar_proxy,gdag_fixed_si,gdag_fixed_kpc,chi2_fixed,chi2_red_fixed,sigma_lo_fixed_si,sigma_hi_fixed_si,gdag_free_si,gdag_free_kpc,ml_disk_best,chi2_free,chi2_red_free,chi2_red_base_cH0,chi2_red_base_cH0_2pi,ml_mond,chi2_red_mond,ml_lcdm,rho_s,r_s_kpc,chi2_red_lcdm,ratio_cH0,ratio_cH0_2pi,ratio_a0,flag_ml_edge,flag_bad_fit,flag_low_points,flag_bulge_sensitive,flag_low_quality
NGC6195,23,127.8,36.43,256021898516.59305,61405729.9827432,3.8877924793548414e-11,1199.6474095035974,65.991725281041,3.142463108621,1.6468063521334305e-12,1.7196478695241744e-12,8.968822237621456e-11,2767.4893711009768,0.23529941506217392,42.75526287158755,2.035964898647026,453.7612231553156,26.837766334619936,0.16132047688576712,1.7615923184195053,0.2041558739898651,1754500.257516637,50.60503881818839,1.694010760525801,0.057165614672553496,0.35918215018647787,0.32398270661290346,False,False,False,True,False
NGC3917,17,18.0,14.86,16985588681.930105,24484605.533701967,1.2001523742660708e-10,3703.2832756464513,47.865891237369716,3.1910594158246477,3.0765558334452204e-12,3.15749736337657e-12,4.384163108252335e-11,1352.811381673574,0.8999494151265061,39.990203881715395,2.6660135921143597,197.53949725951952,3.3771906127105153,0.5104940020822613,3.0069635535082124,1.0682974488878005,71141.082070858,316.22776601683796,2.8260648769248005,0.17646890501477963,1.1087868311629332,1.000126978555059,False,False,False,False,False
NGC0289,28,20.8,71.12,83258862158.93848,5239587.565053397,7.255964152079355e-11,2238.9565916176284,83.34112059653218,3.2054277152512376,1.860045384070466e-12,1.908981573523621e-12,4.9994995216297605e-11,1542.6843592569767,0.7157553935894831,48.566754908045816,1.867952111847916,313.7370284053657,8.692254342403782,0.34878347091717815,7.883349949094477,0.6297314158845415,2546701.5061089527,27.020801258363413,1.9161365903604166,0.1066907899529818,0.6703580038439586,0.6046636793399462,False,False,False,False,False
NGC3726,12,18.0,32.52,48957881166.07881,14735730.402800748,4.4271716561856765e-11,1366.0824328906149,32.165170148869265,3.2165170148869264,2.602957024353181e-12,2.7655581035750236e-12,6.776006391478222e-11,2090.857101422657,0.3991749869399147,27.793154429621374,2.7793154429621376,380.4156889047036,23.10798433544878,0.28153132557789684,3.2385333144111517,0.5361557252253719,82597.96613864086,316.22776601683796,2.1483138483966138,0.06509657867046403,0.4090138666499197,0.36893097134880637,False,False,False,False,False
UGC07125,13,19.8,18.68,6642604759.9229,6059472.179634704,1.7520578362203655e-11,540.6285586701456,35.621224817972845,3.2382931652702585,1.030122978288145e-12,1.0944725262959488e-12,9.509377087435426e-12,293.4287169264717,0.9413887194879963,16.176669317879217,1.4706063016253834,958.7175178825805,134.72206833425898,0.10000546443110717,79.1225698255269,0.28828233128966013,2024734.0142965144,11.177032125950953,0.9096404395918052,0.02576203943015545,0.1618676676305339,0.14600481968503046,False,False,False,False,False
NGC2403,73,3.16,20.87,12840764743.856531,9384175.44098097,1.4589380478441163e-10,4501.812427017369,234.71995604804326,3.305914873916102,1.2574553101709047e-12,1.2683875126414459e-12,1.7091918560133542e-10,5274.014992568028,0.4319337750323506,192.63002265080755,2.7130989105747543,309.24742435827585,9.652157374658845,0.563940146710853,4.668067436856478,0.3869411733999564,11824028.24657999,10.370127850052562,2.158242922769412,0.21452042699569224,1.3478715949892246,1.2157817065367635,False,False,False,False,False
UGC03546,30,28.7,29.23,62667458524.14955,23347187.91582826,9.505542694166727e-11,2933.103999129932,92.79060604265402,3.313950215809072,8.192805139668073e-13,8.264032644826242e-13,1.5774443555273312e-10,4867.484683900784,0.30531263218036325,69.67983612267514,2.4885655758098264,661.9979378535592,4.688209343332369,0.4175652285395121,2.024970828123413,0.1,33221240.332466085,8.979767870514243,1.8520972435439593,0.1397683116559796,0.8781902022061483,0.7921285578472272,False,False,False,True,False
CamB,9,3.36,1.79,66133643.46150003,6570017.328781707,6.492833841724166e-13,20.034791825756727,23.948945582343352,3.4212779403347646,5.643700992102022e-13,7.295187855250558e-13,6.311361392126622e-12,194.74826356375266,0.1,19.310541640756554,2.758648805822365,237.9399949174043,63.38128751049139,0.10000546443110717,32.501908657085224,0.1,10569.532967666724,316.22776601683796,2.650583437561115,0.0009546981725488393,0.005998545530550068,0.005410694868103472,True,False,False,False,True
ESO079-G014,15,28.7,16.67,36263092180.14329,41537825.88845297,1.5186166596272287e-10,4685.961381491046,45.396734323515595,3.4920564864242767,3.892929800518354e-12,3.995349425263614e-12,1.358031996501575e-10,4190.448886552873,0.5442664382537937,45.265915079439466,3.4819934676491897,329.8078557036835,12.630941626355488,0.6026526925868044,3.2272635320389784,0.8253576688071803,135036.35392758754,316.22776601683796,3.8079042762168425,0.22329549547864905,1.4030069763508335,1.2655138830226906,False,False,False,False,False
NGC4088,12,18.0,21.48,70624407694.18565,48723265.96941303,2.1378361597877512e-11,659.667311115866,35.771760332836905,3.5771760332836906,2.6032104866200737e-12,2.5463438159942327e-12,7.193912785752469e-11,2219.8095406200505,0.3039925285907266,6.430378740413186,0.6430378740413186,345.04167253350965,36.20802959169744,0.22804716548692675,1.065000739799046,0.3776887178011117,102824.94422861972,316.22776601683796,0.4596895308207664,0.031434475680594536,0.19750863573520558,0.17815301331564593,False,False,False,False,False
